José Cortez Pereira de Araújo	m 
Odir de Araújo	m 
Luís Lago de Araújo	m 
Robério Bezerra Araújo	m 
Jorge Wilson Arbage	m 
Valdir Mendes Arcoverde	m 
Dirceu Mendes Arcoverde	m 
Rubens Ardenghi	m 
Danilo Duarte de Matos Areosa	m 
Jorge Afonso Argello	m 
Roberto Argenta	m 
Pérsio Arida	m 
Bernardo Ramos Ariston	m 
Miguel Marcondes Armando	m 
Antônio Carneiro Arnaud	m 
Denisar de Almeida Arneiro	m 
Paulo Evaristo Arns	m 
Flávio José Arns	m 
Arno Fernando Arnt	m 
Antônio Sérgio da Silva Arouca	m 
Raimundo Monte Arrais	m 
Edmar de Souza Arruda	m 
João Ponce de Arruda	m 
José Roberto Arruda	m 
João Cavalcanti de Arruda	m 
Edgar Cavalcanti de Arruda	m 
Inácio Francisco de Assis Nunes Arruda	m 
Gilbert Arvengas	m 
Raimundo Asfora	m 
Mário Assad	m 
Abílio Faustino de Assis	m 
Raimundo Damasceno Assis	m 
Clóvis Raimundo Gomes de Assis	m 
José Alves de Assis	m 
Narciso Mendes de Assis	m 
Alexandre Zacarias de Assunção	m 
Antônio Carlos Assunção	m 
Paulo Álvaro de Assunção	m 
Valmir Carlos da Assunção	m 
Regina Maria de Assunção	f 
Belarmino Augusto Maria Austregésilo de Ataíde	m 
Válter Geraldo de Azevedo Ataíde	m 
Luís Paulo Ataíde	m 
Múcio Ataíde	m 
Aramis Taborda de Ataíde	m 
Bernardo Attolico	m 
Roberto França Auad	m 
Artur Boéris Audrá	m 
Pauderney Tomás Avelino	m 
José Georgino Alves e Sousa Avelino	m 
Moisés Nogueira Avelino	m 
João Brás de Aviz	m 
Herófilo Carvalho de Azambuja	m 
Marcos Castrioto de Azambuja	m 
Carlos Sá Azambuja	m 
Hélio de Almeida Azambuja	m 
Antônio Bittencourt Azambuja	m 
Renato Mário de Avelar Azeredo	m 
Albuíno de Azeredo	m 
Eduardo Brandão de Azeredo	m 
Manuel Vítor de Azevedo	m 
Gilberto Ronaldo Campelo de Azevedo	m 
Asdrúbal Gwyer de Azevedo	m 
Mílton Pereira de Azevedo	m 
Francisco de Sales Duarte Azevedo	m 
José Alves de Azevedo	m 
Valmor Oliveira de Azevedo	m 
Agliberto Vieira de Azevedo	m 
Amâncio Mário de Azevedo	m 
Tertuliano Azevedo	m 
José Neri Azevedo	m 
José Sérgio Gabrielli de Azevedo	m 
José Filadelfo de Barros e Azevedo	m 
Josafá Paranhos de Azevedo	m 
Francisco de Sales Vicente de Azevedo	m 
Moacir Gomes de Azevedo	m 
Temístocles Vieira de Azevedo	m 
Gervásio Gomes de Azevedo	m 
Francisco Humberto de Freitas Azevedo	m 
Jairo Azi	m 
Elizabeth Azize	f 
Antônio Baby	m 
Ênio Egnon Bergmann Bacci	m 
João Carlos Paolilo Bacelar	m 
Joaquim Rui Paulilo Bacelar	m 
Edmar Lisboa Bacha	m 
Alfredo Augusto Guimarães Backer	m 
Murilo Paulino Badaró	m 
Aniz Badra	m 
Paulo Baeta	m 
Jacques Ferdinand Marcel Georges Baeyens	m 
Ernesto da Silveira Bagdócimo	m 
Ademar Gabriel Bahadian	m 
Luís Alberto Ferreira Bahia	m 
Miguel Antônio Bahury	m 
Filipe Balbi	m 
Nilton Balbino	m 
Odílio Balbinotti	m 
Aliomar de Andrade Baleeiro	m 
Roberto Egídio Balestra	m 
Mauro Balloussier	m 
Antônio Bezerra Baltar	m 
Joseph Walace Faria Bandeira	m 
Antônio Bandeira	m 
Udson Coelho Bandeira	m 
Carlos César Branco Bandeira	m 
Júlio de Carvalho Barata	m 
Rui Guilherme Paratininga Barata	m 
Joaquim de Magalhães Cardoso Barata	m 
Elcione Teresinha Zahluth Barbalho	f 
Arnaldo Rodrigues Barbalho	m 
Jáder Fontenelle Barbalho	m 
Heródoto de Sousa Barbeiro	m 
Marcelo Fortes Barbieri	m 
Leonardo Barbieri	m 
Raimundo Rodrigues Barbosa	m 
Mário Gibson Alves Barbosa	m 
Valdir Neves Barbosa	m 
Mílton João Soares Barbosa	m 
Raul Barbosa	m 
José Barbosa	m 
Adolfo Simões Barbosa	m 
Vivaldo Vieira Barbosa	m 
Júlio Caetano Horta Barbosa	m 
Renato Rodrigues Barbosa	m 
Rubens Antônio Barbosa	m 
Irani Vieira Barbosa	m 
Rui de Almeida Barbosa	m 
